recruit_no,title,company,company_desc,skills,career,location,badges,deadline_text,deadline_date,detail_url
49617534,RL Engineer,플라잎,Deep Learning과 Reinforcement Learning 기술을 통해 산업용 로봇의 스마트한 작업을 실현하는 AI 스타트업,C;C++;Python;Pytorch;Tensorflow,경력3년↑,경기 성남시 외 1,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617534?sc=322
49617518,[울산지사] 로봇 어플리케이션 엔지니어,플라잎,Deep Learning과 Reinforcement Learning 기술을 통해 산업용 로봇의 스마트한 작업을 실현하는 AI 스타트업,C++;Python;TCP/IP,경력3년↑,울산 남구,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617518?sc=322
49617508,Physical AI Lead Engineer,플라잎,Deep Learning과 Reinforcement Learning 기술을 통해 산업용 로봇의 스마트한 작업을 실현하는 AI 스타트업,Pytorch;Tensorflow,경력6년↑,경기 성남시,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617508?sc=322
49617487,Robot Control Engineer,플라잎,Deep Learning과 Reinforcement Learning 기술을 통해 산업용 로봇의 스마트한 작업을 실현하는 AI 스타트업,C;C++;Python;Linux,경력3년↑,경기 성남시 외 1,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617487?sc=322
49617478,Robot Embedded Engineer,플라잎,Deep Learning과 Reinforcement Learning 기술을 통해 산업용 로봇의 스마트한 작업을 실현하는 AI 스타트업,C;C++;AutoCAD;CAD;2D 설계,경력3년↑,경기 성남시 외 1,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617478?sc=322
49617284,AI Research Engineer,㈜모아이스,"인공지능과 데이터 기술로 스포츠 교육의 패러다임을 변화시키며, 글로벌 100만 다운로드 스포츠 앱 '골프픽스'를 통해 개인화된 코칭 경험을 제공하는 혁신적인 기업",Pytorch,경력5년↑,서울 동작구 외 1,합격축하금,~08/17(월),2026-08-17 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617284?sc=322
49617258,LG CNS BIZACTOR  고급,㈜오아비스솔루션,"제조 IT 및 스마트 팩토리 분야의 시스템 구축과 운영을 전문으로 하며, 현장 중심의 엔지니어링을 지향하는 기업",C#;JAVA;MSSQL;Oracle,경력6년↑,서울 마포구 외 1,합격축하금,~08/20(목),2026-08-20 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617258?sc=322
49617253,LG CNS BIZACTOR 중급,㈜오아비스솔루션,"제조 IT 및 스마트 팩토리 분야의 시스템 구축과 운영을 전문으로 하며, 현장 중심의 엔지니어링을 지향하는 기업",C#;JAVA;MSSQL;Oracle,경력7년↑,서울 마포구 외 1,합격축하금,~08/20(목),2026-08-20 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49617253?sc=322
49615105,백엔드 / LLM 엔지니어,㈜코그콤,데이터 전처리 및 빅데이터 처리 기술을 활용해 문서와 데이터 업무 자동화를 지원하는 디지털 트랜스포메이션 선두기업,Django;Pandas;Python;NLP,경력1년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49615105?sc=322
49614194,[마케팅 전략] 데이터 사이언티스트,슈퍼센트㈜,"하이퍼 캐주얼 게임 개발 및 퍼블리싱으로 전 세계 시장에서 빠르게 성장하고 있는 글로벌 앱 퍼블리셔, 누적 9억 다운로드 달성",Apache;GCP;Pandas;Python;Pytorch,경력무관,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49614194?sc=322
