name,category,url
한겨레 RSS,종합,https://www.hani.co.kr/rss/
Google News Korea,종합,https://news.google.com/rss?hl=ko&gl=KR&ceid=KR:ko
Google News Korea AI,AI,https://news.google.com/rss/search?q=AI%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5&hl=ko&gl=KR&ceid=KR:ko
