category,matched_keyword,idx,title,org,url,기관명,표준직무(NCS),근무분야,고용형태,응시자격,우대조건,우대내용
데이터분석,데이터분석,299295,한국공항공사 공무직(AI·데이터분석) 공개채용,한국공항공사,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=299295,한국공항공사,정보통신,공무직,무기계약직,"- 연령 : 제한없음 (단, 공사 인사규정 상 정년(만 60세) 이내인 자)
 - 병역 : 남성의 경우 병역필 또는 면제자 *면접 합격발표일('26.6.9. 예정) 이전 전역(제대) 예정자 지원 가능
 - 공사 인사규정 제19조(임용결격사유)에 해당하지 않는 자 
 - 학력 및 경력사항 : 아래 자격 중 하나에 해당하는 자 
 1. 직무 관련 전공 분야* 석사학위 또는 직무 관련 전공 분야* 박사학위 취득 후(박사과정도 가능) 해당 전공분야 5년 이상 실무경력 또는 직무 관련 전공 분야* 학사학위 취득 후 해당 전공분야 8년 이상 실무경력자 
 2. 데이터분석 실무경력(인공지능 또는 항공 또는 교통분야 관련) 또는  SW 설계 실무경력(인공지능 또는 항공 또는 교통분야 관련) 6년 이상 경력자","취업지원대상자(국가보훈대상자), 장애인 등","- 서류전형 우대 : 경력단절여성, 직무 관련 논문소지자, 학위 소지자
 - 특별우대 : 취업지원대상자(국가보훈대상자), 장애인"
마케팅분석,디지털마케팅,301116,(수정) IBK기업은행 전문계약직(카드디지털마케팅) 채용공고,중소기업은행,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=301116,중소기업은행,금융.보험,"계약직,전문직",비정규직,"- 디지털마케팅 분야 업무경력 3년 이상인 자 (경력산정 기준일 : 공고 시작일)
 ※ 채용분야(직무) 관련 자세한 내용은 (붙임)직무설명서 참조",,「국가유공자 등 예우 및 지원에 관한 법률」에 따라 지원자의 수가 채용예정인원과 같거나 적은 경우 취업지원대상자에게 가점을 부여합니다.
마케팅분석,마케팅,300836,"2026년도 우체국물류지원단 하반기 통합채용(기술직_마케팅,책임급) 공고",(재)우체국물류지원단,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=300836,(재)우체국물류지원단,"사업관리,경영.회계.사무,영업판매","기술직,기타(마케팅)",정규직,"· [근무] 2026.7.1.(수) 근무 가능자
  · [학력] 제한없음
  · [자격] 제한없음
  · [경력] 관련분야* 경력 5년 이상인 자
  * ‘물류’ 분야 마케팅 또는 영업 경력자
    (경력증명서 상 담당업무 기재 필수, 예: 물류 마케팅)
  * 물류분야란, ①~ ⑥ 중 하나 이상 충족
 ① 해외직구 플랫폼 운영·영업, ② 관세·통관 영업·마케팅, ③ 글로벌 이커머스 셀러·MD, 
 ④ 국제 택배·배송 서비스 영업, ⑤ 무역·수출 마케팅, ⑥ 항공화물 영업·마케팅 
  * 세부 경력 인정 여부는 제출서류 및 수행업무를 기준으로 판단함
  · [병역] 남성의 경우 채용예정일 현재 군필 또는 면제자(단, 고등학교 졸업예정자는 예외)
  · [나이] 만 60세 이하(공고일 기준)","국가유공자, 저소득층, 장애인, 경력단절여성, 북한이탈주민, 다문화가족 구성원, 비수도권 지역인재, 자립준비청년, 청년, 공공기관 청년인턴 경험자","국가유공자, 저소득층, 장애인, 경력단절여성, 북한이탈주민, 다문화가족 구성원, 비수도권 지역인재, 자립준비청년, 청년, 공공기관 청년인턴 경험자"
마케팅분석,마케팅,299293,IBK기업은행 전문계약직(퇴직연금 마케팅(영업)) 채용공고,중소기업은행,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=299293,중소기업은행,"금융.보험,영업판매","계약직,전문직",비정규직,"- 금융기관에서 퇴직연금 다이렉트 마케팅 업무경력 3년 이상인 자 (경력산정 기준일 : 공고 시작일)
 ※ 채용분야(직무) 관련 자세한 내용은 (붙임)직무설명서 참조",취업지원대상자,- 취업지원대상자는 관련 법률(「국가유공자 등 예우 및 지원에 관한 법률」)에 의거하여 모든 전형에 만점의 5% 또는 10%를 가산합니다.
마케팅분석,마케팅,299286,IBK기업은행 전문계약직(나라사랑카드 온·오프라인 통합마케팅) 채용공고,중소기업은행,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=299286,중소기업은행,금융.보험,"계약직,전문직",비정규직,"- 금융회사 또는 전자금융업에서 마케팅 업무경력 5년 이상인 자 (경력산정 기준일 : 공고 시작일)
 ※ 채용분야(직무) 관련 자세한 내용은 (붙임)직무설명서 참조",,「국가유공자 등 예우 및 지원에 관한 법률」에 따라 지원자의 수가 채용예정인원과 같거나 적은 경우 취업지원대상자에게 가점을 부여합니다.
마케팅분석,마케팅,299012,"2026년도 우체국물류지원단 기술직(마케팅, 책임급) 채용 공고",(재)우체국물류지원단,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=299012,(재)우체국물류지원단,"사업관리,경영.회계.사무,영업판매","기술직,기타(마케팅)",정규직,"· [근무] 2026.5.26.(화) 근무 가능자
  · [학력] 학사학위 취득자
   - 한국교육개발원 학과(전공) 분류 '사회계열-경영·경제' 중분류에 해당하는 학사학위 취득자
  · [자격] 제한없음
  · [경력] 관련분야 경력 5년 이상인 자
   - '국제물류·특송·포워딩·이커머스' 분야 마케팅 또는 영업 경력자
  · [병역] 남성의 경우 채용예정일 현재 군필 또는 면제자(단, 고등학교 졸업예정자는 예외)
  · [나이] 만 60세 이하(공고일 기준)","국가유공자, 저소득층, 장애인, 경력단절여성, 북한이탈주민, 다문화가족 구성원, 비수도권 지역인재, 자립준비청년, 청년, 공공기관 청년인턴 경험자","국가유공자, 저소득층, 장애인, 경력단절여성, 북한이탈주민, 다문화가족 구성원, 비수도권 지역인재, 자립준비청년, 청년, 공공기관 청년인턴 경험자"
AI·ML,AI,303851,(수정) [직원채용] 동남권원자력의학원 박사후 연수연구원(첨단방사선AI융합연구팀) 공개 채용,동남권원자력의학원,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=303851,동남권원자력의학원,연구,연구직,비정규직,"과학기술정보통신부 산하 정부 출연연구기관인 동남권원자력의학원에서 21세기 암치료의 새 빛을 열어갈 인재를 찾습니다.
 우리 기관은 정부의 블라인드 채용 가이드라인에 따라 응시절차 및 방법을 준수하고 있습니다. 따라서 응시자는 모집 공고문과 블라인드 채용 유의사항을 잘 숙지하여 불이익이 발생하지 않도록 주의 바랍니다.
 1. 모집부문 : 동남권원자력의학원 박사후 연수연구원(첨단방사선AI융합연구팀)
 2. 모집인원: 1명
 [담당업무]
 ㆍ방사선 시뮬레이션 기반 정밀 타겟팅 광대역 선량률 조사장치 개발
 ㆍ방사선 병용효능 검증을 위한 빔 특성 분석 및 예비연구 수행
 ㆍAI 기반 CBCT 영상 향상 및 정합 정확도 개선 연구
 [필수사항]
 ㆍ 박사학위 소지자
 - 임용예정일 기준 박사학위 취득 후 5년 이내인 자 또는 박사 학위 취득 예정자
 ㆍ병역의 의무를 기피한 사실이 없는 자
 ㆍ국가공무원법 제33조의 결격사유가 없는 자
 ㆍ의학원 인사 및 채용 규정상 결격사유가 없는 자
 ㆍ공고마감일 기준 위 기준을 모두 충족하는 자
 [우대사항]
 ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자
 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자
 ㆍ의료영상 및 AI 경험이 있는 자
 ㆍ추적 및 센서 융합 경험이 있는 자
 [근무조건]
 ㆍ근 무 처: 동남권원자력의학원(부산광역시 기장군 장안읍 좌동길 40)
 ㆍ근무시간: 8시 30분~17시 30분
 ㆍ급 여: 내규에 따라 산정
 ㆍ계약기간: 채용 시 ~ 2026. 12. 31.(연구실적에 따라 1년 단위 재계약이 가능하며, 과제 유무 및 연구비 상황에 따라 변경(단축)될 수 있고 관련규정에 따라 박사취득 후 5년 이내 계약가능)
 [참고사항]
 · 의학원 사정에 의하여 타 부서로 배치 및 근무형태 전환 될 수 있음
 [절차]
 1. 서류심사(채용예정인원의 7배수)
 2. 면접(발표)전형(채용예정인원)
 3. 채용점검
 4. 신원조회 및 신체검사
 [심사기준]
 1. 서류심사
 ㆍ기관적합성 : 자기소개서 등을 바탕으로 의학원의 비전 및 핵심가치 등
 ㆍ업무적합성 : 경력기술서 및 경력 등을 바탕으로 직무에 대한 적합성 평가
 ㆍ자기소개서 및 경력(임상실습) 기술서에 편견이 개입되어 차별을 야기할 수 있는 인적사항(성명, 성별, 사진, 출신지역(거주지), 나이, 학교명, 가족사항(학력, 재산, 직업, 종교), 병역의무이행, 혼인여부 및 자녀유무 등)과 관련된 내용이 포함되어 있는 경우 부적격 처리함
 ㆍ해당 응시부문의 필수사항(학력) 미기재 시 부적격 처리함
 ㆍ응시원서 상 모집부문이 다를 경우 부적격 처리함
 2. 면접전형(발표)
 ㆍ연구관련성 : 연구내용 및 주제의 의학원과의 관련성 평가
 ㆍ연구소양 : 논리적 사고 및 이론적 능력 평가
 ㆍ전달력 : 연구내용 전달력 평가
 ㆍ연구방향 : 향후 연구방향 및 발전가능성 평가
 ㆍ발표자료 블라인드 채용 위배 시 부적격 처리
 * 응시원서에 블라인드 채용에 위배되는 내용 기재 시 불합격 처리합니다.
 자세한 사항은 모집공고문을 참고하시기 바랍니다.",ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자 ㆍ의료영상 및 AI 경험이 있는 자 ㆍ추적 및 센서 융합 경험이 있는 자,"[우대사항]
 ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자
 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자
 ㆍ의료영상 및 AI 경험이 있는 자
 ㆍ추적 및 센서 융합 경험이 있는 자"
AI·ML,AI,302020,국립광주과학관 2026년도 AI라운지 사업 프로젝트 계약직 공개경쟁 채용,국립광주과학관,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=302020,국립광주과학관,"사업관리,경영.회계.사무","일반직,행정직,사무직",비정규직,"- (공통) 학력, 연령(60세 미만, 위생(미화) 및 방호(경비) 분야의 경우 65세), 성별 제한 없음 
  - (분야별 지원자격) 해당없음",공통우대조건 : 국가유공자 및 등록장애인일 경우 관계법령 등에 의거 가점 부여,"- 국가·지자체·공공기관 등에서 연구과제 또는 사업관리 업무 경험자
 - 행사·교육 등 프로그램 운영 또는 현장 지원 경험자"
AI·ML,AI,302465,(수정) [직원채용] 동남권원자력의학원 박사후 연수연구원(첨단방사선AI융합연구팀) 공개 채용,동남권원자력의학원,https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=302465,동남권원자력의학원,연구,연구직,비정규직,"과학기술정보통신부 산하 정부 출연연구기관인 동남권원자력의학원에서 21세기 암치료의 새 빛을 열어갈 인재를 찾습니다.
 우리 기관은 정부의 블라인드 채용 가이드라인에 따라 응시절차 및 방법을 준수하고 있습니다. 따라서 응시자는 모집 공고문과 블라인드 채용 유의사항을 잘 숙지하여 불이익이 발생하지 않도록 주의 바랍니다.
 1. 모집부문 : 동남권원자력의학원 박사후 연수연구원(첨단방사선AI융합연구팀)
 2. 모집인원: 1명
 [담당업무]
 ㆍ방사선 시뮬레이션 기반 정밀 타겟팅 광대역 선량률 조사장치 개발
 ㆍ방사선 병용효능 검증을 위한 빔 특성 분석 및 예비연구 수행
 ㆍAI 기반 CBCT 영상 향상 및 정합 정확도 개선 연구
 [필수사항]
 ㆍ 박사학위 소지자
 - 임용예정일 기준 박사학위 취득 후 5년 이내인 자 또는 박사 학위 취득 예정자
 ㆍ병역의 의무를 기피한 사실이 없는 자
 ㆍ국가공무원법 제33조의 결격사유가 없는 자
 ㆍ의학원 인사 및 채용 규정상 결격사유가 없는 자
 ㆍ공고마감일 기준 위 기준을 모두 충족하는 자
 [우대사항]
 ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자
 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자
 ㆍ의료영상 및 AI 경험이 있는 자
 ㆍ추적 및 센서 융합 경험이 있는 자
 [근무조건]
 ㆍ근 무 처: 동남권원자력의학원(부산광역시 기장군 장안읍 좌동길 40)
 ㆍ근무시간: 8시 30분~17시 30분
 ㆍ급 여: 내규에 따라 산정
 ㆍ계약기간: 채용 시 ~ 2026. 12. 31.(연구실적에 따라 1년 단위 재계약이 가능하며, 과제 유무 및 연구비 상황에 따라 변경(단축)될 수 있고 관련규정에 따라 박사취득 후 5년 이내 계약가능)
 [참고사항]
 · 의학원 사정에 의하여 타 부서로 배치 및 근무형태 전환 될 수 있음
 [절차]
 1. 서류심사(채용예정인원의 7배수)
 2. 면접(발표)전형(채용예정인원)
 3. 채용점검
 4. 신원조회 및 신체검사
 [심사기준]
 1. 서류심사
 ㆍ기관적합성 : 자기소개서 등을 바탕으로 의학원의 비전 및 핵심가치 등
 ㆍ업무적합성 : 경력기술서 및 경력 등을 바탕으로 직무에 대한 적합성 평가
 ㆍ자기소개서 및 경력(임상실습) 기술서에 편견이 개입되어 차별을 야기할 수 있는 인적사항(성명, 성별, 사진, 출신지역(거주지), 나이, 학교명, 가족사항(학력, 재산, 직업, 종교), 병역의무이행, 혼인여부 및 자녀유무 등)과 관련된 내용이 포함되어 있는 경우 부적격 처리함
 ㆍ해당 응시부문의 필수사항(학력) 미기재 시 부적격 처리함
 ㆍ응시원서 상 모집부문이 다를 경우 부적격 처리함
 2. 면접전형(발표)
 ㆍ연구관련성 : 연구내용 및 주제의 의학원과의 관련성 평가
 ㆍ연구소양 : 논리적 사고 및 이론적 능력 평가
 ㆍ전달력 : 연구내용 전달력 평가
 ㆍ연구방향 : 향후 연구방향 및 발전가능성 평가
 ㆍ발표자료 블라인드 채용 위배 시 부적격 처리
 * 응시원서에 블라인드 채용에 위배되는 내용 기재 시 불합격 처리합니다.
 자세한 사항은 모집공고문을 참고하시기 바랍니다.",ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자 ㆍ의료영상 및 AI 경험이 있는 자 ㆍ추적 및 센서 융합 경험이 있는 자,"[우대사항]
 ㆍ의공학/원자력공학/방사선공학/의학물리학 전공자
 ㆍ방사선 수송 및 선량 계산 코드 경험이 있는 자
 ㆍ의료영상 및 AI 경험이 있는 자
 ㆍ추적 및 센서 융합 경험이 있는 자"
AI·ML,AI,300880,2026년도 AI·개인정보전문가 및 기간제근로자 채용 공고,한국중부발전(주),https://job.alio.go.kr/mobile2021/recruit/recruitView.do?idx=300880,한국중부발전(주),"전기.전자,정보통신,환경.에너지.안전","전산직,별정직,계약직","비정규직,정규직","□전분야 공통 지원자격
 1. 연령, 성별: 제한없음(단, 만 60세 이상 지원 불가)
 ※ 당사 취업규칙 제59조(정년퇴직) 의거 만 60세 정년퇴직
 ※ 기간제근로자는 연령, 학력, 전공 제한 없음 
 2. 병역 (남자의 경우)군필 또는 면제자, 현역의 경우 입사 예정일 이전 전역 가능한 자
 3. 기타
 · 당사 인사관리규정 제10조의 결격사유가 없는 자
 · 최종합격자 발표 이후 정상 근무 가능한 자
 · 각종 자격 및 경력 요건 구비 시점: 입사지원서 접수 마감일 기준
 · 개방형 직위는 민간 전문가 전담직위로 퇴직 후 3년 미만인 공무원 및 공공기관 근무경력자 지원 불가(개방형 계약직 등으로 채용된 경력은 제외)
 □ AI데이터분석팀장
 1. 필수자격(경력)
 [아래 요건 중 1개 이상 갖춘 자]
 · 전공분야(*) 전문학사학위 소지자의 경우, 책임자(*) 직위(차장급 이상)로 5년 이상 재직한 경력을 포함하여, 관련분야(*) 12년 이상 경력이 있는 자 
 · 전공분야 학사학위 소지자의 경우, 책임자 직위(차장급 이상)로 5년 이상 재직한 경력을 포함하여 관련분야 10년 이상 경력이 있는 자
 · 전공분야 석사학위 소지자의 경우, 책임자 직위(차장급 이상)로 5년 이상 재직한 경력을 포함하여, 관련분야 8년 이상 경력이 있는 자
